index,0,1
554,AOW,"Hamburg-Wandsbek 
          Ost"
555,AOZ,Hamburg-Ochsenzoll
556,AP,Pinneberg
557,APB,Hamburg-Poppenbüttel
558,APD,Prisdorf
559,APEW,Pellworm
560,APF,Pansdorf
561,APL,Putlos
562,APLN,Plön
563,APN,"Pönitz 
          (Holstein)"
564,APO,"Bad 
          St Peter-Ording"
565,APOF,Pogeez
566,APOK,"Puan 
          Klent"
567,APS,"Pinneberg 
          (S-Bahn)"
568,APSD,"Bad 
          St Peter Süd"
569,APSH,Probsteierhagen
570,APSS,Passade
571,APU,Puttgarden
572,"APU 
          F","Puttgarden 
          Fähre"
573,"APU 
          S","Puttgarden 
          (Ps)"
574,APUL,Landkirchen
575,APZ,Preetz
576,AQB,Quickborn
577,AQBD,"Quickborn 
          Süd"
578,AQBS,"Norderstedt 
          Quickborner Straße"
579,AR,Rendsburg
580,"AR 
          1","Rendsburg 
          EST"
581,ARAK,Rabenkirchen
582,ARAL,Hamburg-Rahlstedt
583,ARAT,Ratekau
584,ARBK,Reinbek
585,ARD,"Reinfeld 
          (Holst)"
586,ARDB,"Rendsburg 
          Brücke"
587,ARE,Reinsbüttel
588,ARES,"Hamburg 
          Reeperbahn"
589,ARF,Ratzeburg
590,ARH,Radbruch
591,ARI,Hamburg-Rissen
592,ARL,Rickling
593,ARMD,Rathmannsdorf
594,ARMM,"Rantum 
          (Sylt) Mitte"
595,ARMMC,"Rantum 
          (Sylt) Campingplatz"
596,ARMMH,"Rantum 
          (Sylt) Seeheim"
597,ARMMN,"Rantum 
          (Sylt) Nord"
598,ARMMS,"Rantum 
          (Sylt) Süd"
599,AROE,"Hamburg-Rissen 
          Ölweiche"
600,AROF,"Hamburg-Rothenburgsort 
          Tk"
601,AROG,"Rotenburg 
          (Wümme)"
602,AROGG,"Rotenburg 
          (Wümme) Glockengießerstraße"
603,AROP,"Hamburg-Rothenburgsort 
          (S-Bahn)"
604,AROW,"Hamburg-Rissen 
          Ölweiche (Übergabestelle)"
605,ARP,Hamburg-Rübenkamp
606,ARRS,Rhadereistedt
607,ARS,Raisdorf
608,ARSW,"Raisdorf 
          West"
609,ARWD,Ruschwedel
610,ARWDB,"Ruschwedel 
          BHE"
611,ARWG,"Norderstedt 
          Richtweg"
612,ARY,Rieseby
613,ARZS,"Rendsburg 
          Stadt"
614,AS,Sottrum
615,ASAF,"Samoa 
          FKK-Strand"
616,ASAG,Sagehorn
617,ASAI,Schauinsland
618,ASAZ,Scharbeutz
619,ASB,"Bad 
          Segeberg"
620,ASBK,"Bad 
          Segeberg Möbel Kraft"
621,ASBR,"Boren 
          Schleibrücke"
622,ASBY,Schaalby
623,ASCB,"Schönberg 
          (Holst)"
624,ASCG,Kiel-Schusterkrug
625,ASCH,"Bad 
          Schwartau"
626,ASCK,Schönkirchen
627,ASCS,"Schönberger 
          Strand"
628,ASD,"St. 
          Michaelisdonn"
629,ASDC,"Brunsbüttel 
          Condea"
630,ASDD,Süderdeich
631,ASDF,Hamburg-Sülldorf
632,ASDN,Schneverdingen
633,ASDS,Stedesand
634,ASDW,Sandwehle
635,ASE,"Hamburg 
          Süderelbbrücke"
636,ASFD,Schafflund
637,ASFS,"Steinfeld 
          (Schleswig)"
638,ASGR,Scheggerott
639,ASHS,Hamburg-Stadthausbrücke
640,ASID,Sierksdorf
641,ASIDA,"Sierksdorf 
          Hp"
642,ASIT,Sittensen
643,ASL,Scheeßel
644,ASLL,Sellstedt
645,ASLS,Hamburg-Schnelsen
646,ASLU,Schulau
647,ASM,"St. 
          Margarethen (Holstein)"
648,ASMI,Schmilau
649,ASOE,Sörup
650,ASON,"Soltau 
          (Hannover) Nord"
651,ASP,Sprötze
652,ASPS,Sparrieshoop
653,ASQ,"Hamburg 
          Kai Rechts"
654,ASR,Sprakebüll
655,ASSD,Stadersand
656,ASSDK,"Stadersand 
          Katamaran"
657,ASSI,Schlüttsiel
658,ASST,"Hamburg 
          Sternschanze (S-Bahn)"
659,AST,Stade
660,"AST 
          2","Stade 
          (Güter-Zentrum)"
661,ASTD,Stakendorf
662,ASTE,Stelle
663,ASTK,Strukkamp
664,ASTL,Hamburg-Stellingen
665,ASTR,Strecknitz
666,ASTS,"Hamburg-Stellingen 
          (S-Bahn)"
667,ASTU,Struckum
668,ASTZ,"Hamburg 
          Sternschanze"
669,ASU,Suchsdorf
670,ASUE,Süderbrarup
671,ASUEN,"Süderbrarup 
          NE"
672,ASUP,Suerhop
673,ASW,Schleswig
674,ASWA,Schwarzenbek
675,ASWL,"Schwartau 
          Waldhalle"
676,ASY,"Schuby 
          (Kr Schleswig)"
677,ASYO,"Sylt-Ost 
          Sportanlage"
678,ATAK,Tanneneck
679,ATAS,Taarstedt
